Name,Label,Parent,Provider,Domains,Description
Azure,Cloud Infrastructure,,Microsoft,azure-commercial,Microsoft Azure is an ever-expanding set of cloud services to help your organization meet your business challenges. It?s the freedom to build, manage, and deploy applications on a massive, global network using your favorite tools and frameworks.
AI and Machine Learning,AI and Machine Learning,Azure,Microsoft,azure-commercial,
Azure Batch AI,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Easily experiment and train your deep learning and AI models in parallel at scale
Azure Bot Service,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Intelligent, serverless bot service that scales on demand
Azure Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Fully-managed search-as-a-service
Bing Autosuggest,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Give your app intelligent autosuggest options for searches
Bing Custom Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,An easy-to-use, ad-free, commercial-grade search tool that lets you deliver the results you want
Bing Entity Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Enrich your experiences by identifying and augmenting entity information from the web
Bing Image Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Search for images and get comprehensive results
Bing News Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Search for news and get comprehensive results
Bing Spell Check,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Detect and correct spelling mistakes in your app
Bing Video Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Search for videos and get comprehensive results
Bing Web Search,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Get enhanced search details from billions of web documents
Cognitive Services,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Add smart API capabilities to enable contextual interactions
Computer Vision,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Distill actionable information from images
Content Moderator,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Automated image, text, and video moderation
Custom Vision,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Easily customize your own state-of-the-art computer vision models for your unique use case
Data Science Virtual Machines,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Rich pre-configured environment for AI development
Emotion,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Personalize user experiences with emotion recognition
Face,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Detect, identify, analyze, organize, and tag faces in photos
Language Understanding,AI and Machine Learning,AI and Machine Learning,Microsoft,azure-commercial,Teach your apps to understand commands from your users
